date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,shootout_winner,raw_margin_home,raw_margin_away,margin_home,margin_away,hfa,adj_margin_home,adj_margin_away,match_type,match_type_weight,tier_weight,home_win,away_win,home_confederation,away_confederation,grouped_date_id,unique_game_id
1980-02-28,Australia,Vanuatu,1.0,0.0,Oceania Nations Cup,Nouméa,New Caledonia,True,,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,competitive,1.0,1.5,1.0,0.0,AFC,OFC,28,
1980-02-28,New Caledonia,Papua New Guinea,8.0,0.0,Oceania Nations Cup,Nouméa,New Caledonia,False,,8.0,-8.0,8.0,-8.0,0.5,7.5,-7.5,competitive,1.0,1.5,1.0,0.0,OFC,OFC,28,
1980-02-29,New Zealand,Solomon Islands,6.0,1.0,Oceania Nations Cup,Nouméa,New Caledonia,True,,5.0,-5.0,5.0,-5.0,0.0,5.0,-5.0,competitive,1.0,1.5,1.0,0.0,OFC,OFC,29,
1980-02-29,Fiji,Tahiti,3.0,6.0,Oceania Nations Cup,Nouméa,New Caledonia,True,,-3.0,3.0,-3.0,3.0,0.0,-3.0,3.0,competitive,1.0,1.5,0.0,1.0,OFC,OFC,29,
1980-02-29,Iraq,Poland,1.0,0.0,Friendly,Baghdad,Iraq,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,AFC,UEFA,29,
1980-03-01,Australia,Tahiti,4.0,2.0,Oceania Nations Cup,Nouméa,New Caledonia,True,,2.0,-2.0,2.0,-2.0,0.0,2.0,-2.0,competitive,1.0,1.5,1.0,0.0,AFC,OFC,30,
1980-03-01,New Caledonia,Fiji,2.0,1.0,Oceania Nations Cup,Nouméa,New Caledonia,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,competitive,1.0,1.5,1.0,0.0,OFC,OFC,30,
1980-03-04,Sierra Leone,Guinea,3.0,2.0,Friendly,Freetown,Sierra Leone,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,CAF,CAF,31,
1980-03-06,Honduras,Costa Rica,1.0,1.0,Friendly,Tegucigalpa,Honduras,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,CONCACAF,CONCACAF,32,
1980-03-08,Egypt,Ivory Coast,2.0,1.0,African Cup of Nations,Lagos,Nigeria,True,,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,competitive,1.0,1.5,1.0,0.0,CAF,CAF,33,
1980-03-08,Kuwait,Bulgaria,1.0,1.0,Friendly,Kuwait City,Kuwait,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,AFC,UEFA,33,
1980-03-08,Nigeria,Tanzania,3.0,1.0,African Cup of Nations,Lagos,Nigeria,False,,2.0,-2.0,2.0,-2.0,0.5,1.5,-1.5,competitive,1.0,1.5,1.0,0.0,CAF,CAF,33,
1980-03-09,Algeria,Ghana,0.0,0.0,African Cup of Nations,Ibadan,Nigeria,True,,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,competitive,1.0,1.5,0.5,0.5,CAF,CAF,34,
1980-03-09,Guinea,Morocco,1.0,1.0,African Cup of Nations,Ibadan,Nigeria,True,,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,competitive,1.0,1.5,0.5,0.5,CAF,CAF,34,
1980-03-12,Malaysia,Saudi Arabia,3.0,0.0,Friendly,Kuala Lumpur,Malaysia,False,,3.0,-3.0,3.0,-3.0,0.5,2.5,-2.5,friendly,0.25,1.0,1.0,0.0,AFC,AFC,35,
1980-03-12,Egypt,Tanzania,2.0,1.0,African Cup of Nations,Lagos,Nigeria,True,,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,competitive,1.0,1.5,1.0,0.0,CAF,CAF,35,
1980-03-12,Nigeria,Ivory Coast,0.0,0.0,African Cup of Nations,Lagos,Nigeria,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,competitive,1.0,1.5,0.5,0.5,CAF,CAF,35,
1980-03-13,Ghana,Guinea,1.0,0.0,African Cup of Nations,Ibadan,Nigeria,True,,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,competitive,1.0,1.5,1.0,0.0,CAF,CAF,36,
1980-03-13,Algeria,Morocco,1.0,0.0,African Cup of Nations,Ibadan,Nigeria,True,,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,competitive,1.0,1.5,1.0,0.0,CAF,CAF,36,
1980-03-15,Nigeria,Egypt,1.0,0.0,African Cup of Nations,Lagos,Nigeria,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,competitive,1.0,1.5,1.0,0.0,CAF,CAF,37,
1980-03-15,Ivory Coast,Tanzania,1.0,1.0,African Cup of Nations,Lagos,Nigeria,True,,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,competitive,1.0,1.5,0.5,0.5,CAF,CAF,37,
1980-03-15,Italy,Uruguay,1.0,0.0,Friendly,Milan,Italy,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,UEFA,CONMEBOL,37,
1980-03-16,Algeria,Guinea,3.0,2.0,African Cup of Nations,Ibadan,Nigeria,True,,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,competitive,1.0,1.5,1.0,0.0,CAF,CAF,38,
1980-03-16,Ghana,Morocco,0.0,1.0,African Cup of Nations,Ibadan,Nigeria,True,,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,competitive,1.0,1.5,0.0,1.0,CAF,CAF,38,
1980-03-16,Malaysia,China,3.0,1.0,Friendly,Kuala Lumpur,Malaysia,False,,2.0,-2.0,2.0,-2.0,0.5,1.5,-1.5,friendly,0.25,1.0,1.0,0.0,AFC,AFC,38,
1980-03-18,Belgium,Uruguay,2.0,0.0,Friendly,Brussels,Belgium,False,,2.0,-2.0,2.0,-2.0,0.5,1.5,-1.5,friendly,0.25,1.0,1.0,0.0,UEFA,CONMEBOL,39,
1980-03-18,Honduras,Mexico,0.0,1.0,Friendly,Tegucigalpa,Honduras,False,,-1.0,1.0,-1.0,1.0,0.5,-1.5,1.5,friendly,0.25,1.0,0.0,1.0,CONCACAF,CONCACAF,39,
1980-03-19,Algeria,Egypt,2.0,2.0,African Cup of Nations,Ibadan,Nigeria,True,Algeria,0.0,-0.0,0.5,-0.5,0.0,0.5,-0.5,competitive,1.0,1.5,1.0,0.0,CAF,CAF,40,2.0
1980-03-19,Nigeria,Morocco,1.0,0.0,African Cup of Nations,Lagos,Nigeria,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,competitive,1.0,1.5,1.0,0.0,CAF,CAF,40,
1980-03-20,Tahiti,Vanuatu,1.0,0.0,Friendly,Papeete,Tahiti,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,OFC,OFC,41,
1980-03-21,Egypt,Morocco,0.0,2.0,African Cup of Nations,Lagos,Nigeria,True,,-2.0,2.0,-2.0,2.0,0.0,-2.0,2.0,competitive,1.0,1.5,0.0,1.0,CAF,CAF,42,
1980-03-22,Nigeria,Algeria,3.0,0.0,African Cup of Nations,Lagos,Nigeria,False,,3.0,-3.0,3.0,-3.0,0.5,2.5,-2.5,competitive,1.0,1.5,1.0,0.0,CAF,CAF,43,
1980-03-22,Yugoslavia,Uruguay,2.0,1.0,Friendly,Sarajevo,Yugoslavia,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,UEFA,CONMEBOL,43,
1980-03-26,Switzerland,Czechoslovakia,2.0,0.0,Friendly,Basel,Switzerland,False,,2.0,-2.0,2.0,-2.0,0.5,1.5,-1.5,friendly,0.25,1.0,1.0,0.0,UEFA,UEFA,44,
1980-03-26,Spain,England,0.0,2.0,Friendly,Barcelona,Spain,False,,-2.0,2.0,-2.0,2.0,0.5,-2.5,2.5,friendly,0.25,1.0,0.0,1.0,UEFA,UEFA,44,
1980-03-26,Scotland,Portugal,4.0,1.0,UEFA Euro qualification,Glasgow,Scotland,False,,3.0,-3.0,3.0,-3.0,0.5,2.5,-2.5,competitive,1.0,1.0,1.0,0.0,UEFA,UEFA,44,
1980-03-26,Luxembourg,Uruguay,0.0,1.0,Friendly,Esch-sur-Alzette,Luxembourg,False,,-1.0,1.0,-1.0,1.0,0.5,-1.5,1.5,friendly,0.25,1.0,0.0,1.0,UEFA,CONMEBOL,44,
1980-03-26,Israel,Northern Ireland,0.0,0.0,FIFA World Cup qualification,Ramat Gan,Israel,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,competitive,1.0,1.0,0.5,0.5,UEFA,UEFA,44,
1980-03-26,Hungary,Poland,2.0,1.0,Friendly,Budapest,Hungary,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,UEFA,UEFA,44,
1980-03-26,France,Netherlands,0.0,0.0,Friendly,Paris,France,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,UEFA,UEFA,44,
1980-03-26,Cyprus,Republic of Ireland,2.0,3.0,FIFA World Cup qualification,Nicosia,Cyprus,False,,-1.0,1.0,-1.0,1.0,0.5,-1.5,1.5,competitive,1.0,1.0,0.0,1.0,UEFA,UEFA,44,
1980-03-26,Bulgaria,Russia,1.0,3.0,Friendly,Sofia,Bulgaria,False,,-2.0,2.0,-2.0,2.0,0.5,-2.5,2.5,friendly,0.25,1.0,0.0,1.0,UEFA,UEFA,44,
1980-03-30,Guyana,Grenada,5.0,2.0,CONCACAF Championship qualification,Georgetown,Guyana,False,,3.0,-3.0,3.0,-3.0,0.5,2.5,-2.5,competitive,1.0,1.0,1.0,0.0,CONCACAF,CONCACAF,45,
1980-03-30,Yugoslavia,Romania,2.0,0.0,Balkan Cup,Belgrade,Yugoslavia,False,,2.0,-2.0,2.0,-2.0,0.5,1.5,-1.5,friendly,0.25,1.0,1.0,0.0,UEFA,UEFA,45,
1980-04-01,Switzerland,Greece,2.0,0.0,Friendly,Zürich,Switzerland,False,,2.0,-2.0,2.0,-2.0,0.5,1.5,-1.5,friendly,0.25,1.0,1.0,0.0,UEFA,UEFA,46,
1980-04-02,Belgium,Poland,2.0,1.0,Friendly,Brussels,Belgium,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,UEFA,UEFA,47,
1980-04-02,Germany,Austria,1.0,0.0,Friendly,Munich,Germany,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,UEFA,UEFA,47,
1980-04-05,Senegal,Tunisia,0.0,2.0,Friendly,Dakar,Senegal,False,,-2.0,2.0,-2.0,2.0,0.5,-2.5,2.5,friendly,0.25,1.0,0.0,1.0,CAF,CAF,48,
1980-04-06,Ivory Coast,Gabon,4.0,1.0,Friendly,Abidjan,Ivory Coast,False,,3.0,-3.0,3.0,-3.0,0.5,2.5,-2.5,friendly,0.25,1.0,1.0,0.0,CAF,CAF,49,
1980-04-08,Mexico,Honduras,5.0,0.0,Friendly,Toluca,Mexico,False,,5.0,-5.0,5.0,-5.0,0.5,4.5,-4.5,friendly,0.25,1.0,1.0,0.0,CONCACAF,CONCACAF,50,
1980-04-13,Grenada,Guyana,2.0,3.0,CONCACAF Championship qualification,St. George's,Grenada,False,,-1.0,1.0,-1.0,1.0,0.5,-1.5,1.5,competitive,1.0,1.0,0.0,1.0,CONCACAF,CONCACAF,51,
1980-04-15,Guatemala,Mexico,2.0,4.0,Friendly,Guatemala City,Guatemala,False,,-2.0,2.0,-2.0,2.0,0.5,-2.5,2.5,friendly,0.25,1.0,0.0,1.0,CONCACAF,CONCACAF,52,
1980-04-16,Costa Rica,Honduras,1.0,1.0,Friendly,San José,Costa Rica,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,CONCACAF,CONCACAF,53,
1980-04-16,Spain,Czechoslovakia,2.0,2.0,Friendly,Gijón,Spain,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,UEFA,UEFA,53,
1980-04-19,Italy,Poland,2.0,2.0,Friendly,Turin,Italy,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,UEFA,UEFA,54,
1980-04-20,Tanzania,Zambia,0.0,2.0,Friendly,Bulawayo,Zimbabwe,True,,-2.0,2.0,-2.0,2.0,0.0,-2.0,2.0,friendly,0.25,1.0,0.0,1.0,CAF,CAF,55,
1980-04-20,Zimbabwe,Mozambique,6.0,0.0,Friendly,Salisbury,Zimbabwe,False,,6.0,-6.0,6.0,-6.0,0.5,5.5,-5.5,friendly,0.25,1.0,1.0,0.0,CAF,CAF,55,
1980-04-21,Mozambique,Tanzania,0.0,2.0,Friendly,Bulawayo,Zimbabwe,True,,-2.0,2.0,-2.0,2.0,0.0,-2.0,2.0,friendly,0.25,1.0,0.0,1.0,CAF,CAF,56,
1980-04-21,Zimbabwe,Zambia,2.0,1.0,Friendly,Salisbury,Zimbabwe,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,CAF,CAF,56,
1980-04-26,Yugoslavia,Poland,2.0,1.0,Friendly,Borovo,Yugoslavia,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,UEFA,UEFA,57,
1980-04-27,Malta,Libya,0.0,3.0,Friendly,Gżira,Malta,False,,-3.0,3.0,-3.0,3.0,0.5,-3.5,3.5,friendly,0.25,1.0,0.0,1.0,UEFA,CAF,58,
1980-04-29,Mexico,Guatemala,2.0,2.0,Friendly,Toluca,Mexico,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,CONCACAF,CONCACAF,59,
1980-04-29,Sweden,Russia,1.0,5.0,Friendly,Malmö,Sweden,False,,-4.0,4.0,-4.0,4.0,0.5,-4.5,4.5,friendly,0.25,1.0,0.0,1.0,UEFA,UEFA,59,
1980-04-30,Czechoslovakia,Hungary,1.0,0.0,Friendly,Košice,Czechoslovakia,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,UEFA,UEFA,60,
1980-04-30,Republic of Ireland,Switzerland,2.0,0.0,Friendly,Dublin,Republic of Ireland,False,,2.0,-2.0,2.0,-2.0,0.5,1.5,-1.5,friendly,0.25,1.0,1.0,0.0,UEFA,UEFA,60,
1980-05-01,Senegal,Guinea,1.0,0.0,Friendly,Dakar,Senegal,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,CAF,CAF,61,
1980-05-01,Thailand,Luxembourg,0.0,1.0,Friendly,Medan,Indonesia,True,,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,friendly,0.25,1.0,0.0,1.0,AFC,UEFA,61,
1980-05-04,Zambia,Malawi,1.0,1.0,Friendly,Lusaka,Zambia,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,CAF,CAF,62,
1980-05-07,Sweden,Denmark,0.0,1.0,Nordic Championship,Gothenburg,Sweden,False,,-1.0,1.0,-1.0,1.0,0.5,-1.5,1.5,friendly,0.25,1.0,0.0,1.0,UEFA,UEFA,63,
1980-05-08,Libya,Gambia,2.0,1.0,FIFA World Cup qualification,Tripoli,Libya,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,competitive,1.0,1.0,1.0,0.0,CAF,CAF,64,
1980-05-09,Panama,El Salvador,0.0,0.0,Friendly,Panama City,Panama,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,CONCACAF,CONCACAF,65,
1980-05-09,South Korea,Luxembourg,2.0,3.0,Friendly,Medan,Indonesia,True,,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,friendly,0.25,1.0,0.0,1.0,AFC,UEFA,65,
1980-05-11,Japan,Luxembourg,1.0,0.0,Friendly,Medan,Indonesia,True,,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,friendly,0.25,1.0,1.0,0.0,AFC,UEFA,66,
